id,project_id,keyword
1,1,data curation
2,1,qualitative research
3,1,social media
4,1,big data
5,1,interviews
6,1,critical incident technique
7,1,ethics
8,1,grounded theory
9,2,active learning
10,2,teaching methods
11,2,college students
12,2,college faculty
13,2,qualitative research
14,3,abortion
15,3,Qualitative research
16,3,informed consent
17,3,data
18,3,Cisgender people
19,3,Transparency
20,3,data sharing
21,4,fertility
22,4,birth control
23,4,parents
24,4,children
25,4,household composition
26,5,furniture
27,5,Furniture--China
28,5,customized furniture
29,5,furniture purchase
30,5,demand factors
31,5,China furniture market
32,6,Malaria
33,6,Public Health
34,6,Interviews
35,7,e-cigarettes
36,7,vaping
37,7,smoking
38,7,information
39,7,health problems
40,7,risk factors
41,8,climate distress
42,8,young adults
43,8,mental health
44,9,unaccompanied immigrant children
45,9,immigration
46,9,asylum seekers
47,9,lawyers
48,9,children
49,10,Social history
50,10,"COVID-19 Pandemic, 2020-2023"
51,10,Journals (Diaries)
52,10,Archival activism
53,10,Medical anthropology
54,10,Pandemics
55,11,adolescence
56,11,welfare
57,11,politics
58,11,attitude
59,11,civic
60,11,government
61,11,youth
62,11,policy
63,12,athlete
64,12,bullying
65,12,high performance
66,12,NVivo
67,12,parents
68,12,school age
69,12,schools
70,12,student-athletes
71,12,teachers
72,13,Parkinson's disease
73,13,Body-worn sensors
74,13,interviews
75,14,pain management
76,14,pain
77,14,pastoralism
78,14,chronic pain
79,14,health services
80,14,herders
81,15,gender
82,15,participation
83,15,conservation
84,15,sea turtles
85,15,mixed methods research
86,16,Pain
87,16,Cancer
88,16,Rectum--Cancer
89,16,Virtual reality
90,17,Children
91,17,Youth
92,17,Integration
93,17,Education
94,17,Schools
95,17,Cultural pluralism
96,18,Immigration
97,18,Counter-urbanization
98,18,Residential mobility
99,18,Social integration
100,18,Life cycle
101,18,Life styles
102,18,Cultural identity
103,19,Businesses
104,19,Economic and social development
105,19,Economic integration
106,19,European economic community
107,19,Human settlement
108,19,International relations
109,19,Workers
110,20,Farmers
111,20,Agricultural development
112,20,Access to countryside
113,20,Motivation
114,20,Attitudes
115,20,Idealism
116,20,Life styles
117,20,Food production
118,20,Preservation of buildings
119,20,Cultural heritage
120,20,Landscape protection
121,20,Quality of life
122,20,Work-life balance
123,21,Language
124,21,Nationalism
125,21,Religion
126,22,INTERNET USE
127,22,ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY
128,22,TECHNOLOGY AND INNOVATION
129,22,COMPUTER LITERACY
130,22,INFORMATION SOCIETY
131,22,INTERNET
132,22,INTERNET ACCESS
133,22,ONLINE SHOPPING
134,22,CYBERBULLYING
135,22,ELECTRONIC MAIL
136,23,European Union
137,23,Population migration
138,23,Mass media
139,23,Freedom of movement
140,23,Public opinion
141,23,Data collection methodology
142,24,Data collection methodology
143,25,Communications
144,25,Journalism
145,25,Public relations
146,26,Age discrimination
147,26,Anti-semitism
148,26,Democracy
149,26,Health
150,26,Interpersonal trust
151,26,Labour and employment
152,26,Leisure time
153,26,Mass media use
154,26,National identity
155,26,Political attitudes
156,26,Quality of life
157,26,Religion
158,26,Social networks
159,28,ΧΡΗΣΗ ΔΙΑΔΙΚΤΥΟΥ
160,28,ΠΡΟΣΒΑΣΗ ΣΤΙΣ ΤΕΧΝΟΛΟΓΙΕΣ ΠΛΗΡΟΦΟΡΙΑΣ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΩΝ
